2496;OPEN;Add string-options for ignoring newline differences;api-suggestion;2023-12-04T10:08:02Z
2492;OPEN;[API Proposal]: Asserting the execution result of async methods.;api-suggestion;2023-12-02T12:33:12Z
2490;OPEN;IEnumerable gets evaluated multiple times when using BeEmpty();bug, up-for-grabs;2023-11-30T06:45:48Z
2481;OPEN;Subject identification not working on remote desktop;bug, triage;2023-12-05T18:10:14Z
2480;OPEN;BeEquivalent failed with nullably struct property and EqualityComparer;bug, triage;2023-11-30T08:02:03Z
2479;OPEN;[API Proposal]: Support for selecting multiple properties in single expression.;enhancement, up-for-grabs, api-suggestion;2023-11-30T08:22:09Z
2478;OPEN;[API Proposal]: Scoped value formatters;api-suggestion;2023-11-30T06:30:10Z
2472;OPEN;Correctly specify nullability of Subject for `NumericAssertions`;;2023-11-19T18:17:42Z
2465;OPEN;Support .NET 8;feature, api-suggestion;2023-11-19T16:06:19Z
2450;OPEN;Fix Qodana issues;;2023-11-19T20:46:56Z
2446;OPEN;Types that contain an empty ArraySegment<>s cannot be checked with IsEquivalentTo.;bug, triage;2023-11-08T19:12:07Z
2444;OPEN;ThrowWithinAsync does not work with TaskCanceledException;bug;2023-11-08T11:15:01Z
2434;OPEN;Add NotBeIn in DateTimeAssertions;api-approved;2023-11-03T14:00:12Z
2374;OPEN;BeEquivalentTo incorrectly compare JsonElements?;feature;2023-10-26T09:15:27Z
2364;OPEN;New string-specific options for string equivalency assertions;api-suggestion;2023-12-04T10:07:18Z
2363;OPEN;BeProperSubsetOf and BeProperSupersetOf;api-approved;2023-11-02T17:45:37Z
2339;OPEN;Allow IEqualityComparer in string equality assertion;api-suggestion;2023-10-04T13:50:15Z
2291;OPEN;Combine Configuration, Services and AssertionOptions;breaking change;2023-09-17T13:48:40Z
2253;OPEN;Revisit AssertionScope and how it travels over chained calls;breaking change, api-suggestion;2023-09-11T17:49:00Z
2252;OPEN;Drop RespectingRuntimeTypes and RespectingDeclaredTypes;breaking change, api-suggestion;2023-09-23T14:00:46Z
