44 types,File,Breaking Point,Debt,Annual Interest,Issues,# lines of code (LOC),DebtRating,DebtRatio
FluentAssertions.Equivalency.Steps .GenericEnumerableEquivalencyStep,Src\FluentAssertions\Equivalency\Steps\GenericEnumerableEquivalencyStep.cs,147d,57min,2h  22min,"3 issues;FluentAssertions.Equivalency.Steps .GenericEnumerableEquivalencyStep violates rule 'Types almost 100% tested should be 100% tested';FluentAssertions.Equivalency.Steps .GenericEnumerableEquivalencyStep .Handle(Comparands ,IEquivalencyValidationContext ,IEquivalencyValidator) violates rule 'Code should be tested';FluentAssertions.Equivalency.Steps .GenericEnumerableEquivalencyStep. .cctor() violates rule 'Avoid types initialization cycles'",33,C,14.74
FluentAssertions.Formatting .FormattedObjectGraph,Src\FluentAssertions\Formatting\FormattedObjectGraph.cs,152d,42min,1h  40min,4 issues;FluentAssertions.Formatting .FormattedObjectGraph violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Formatting .FormattedObjectGraph violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions.Formatting .FormattedObjectGraph .WithIndentation() violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Formatting .FormattedObjectGraph .lineBuilderWhitespace violates rule 'Don't assign a field from many methods',36,B,8.1
FluentAssertions.Common .StringExtensions,Src\FluentAssertions\Common\StringExtensions.cs,182d,54min,1h  49min,"16 issues;FluentAssertions.Common .StringExtensions violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .StringExtensions violates rule 'Types almost 100% tested should be 100% tested';FluentAssertions.Common .StringExtensions .IndexOfFirstMismatch(String ,String,StringComparison) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .StringExtensions.IndexedSegmentAt (String,Int32) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .StringExtensions.IndexedSegmentAt (String,Int32) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .StringExtensions .WithoutSpecificCollectionIndices (String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .StringExtensions .ContainsSpecificCollectionIndex (String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .StringExtensions .EscapePlaceholders(String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .StringExtensions .UnescapePlaceholders(String) violates rule 'Code should be tested';FluentAssertions.Common .StringExtensions .UnescapePlaceholders(String) violates rule 'Potentially Dead Methods';FluentAssertions.Common .StringExtensions.Combine(String ,String,String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .StringExtensions.Capitalize (String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .StringExtensions.IndentLines (String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .StringExtensions.RemoveNewLines (String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .StringExtensions.CountSubstring (String,String,StringComparison) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .StringExtensions .IsLongOrMultiline(String) violates rule 'Avoid public methods not publicly visible'",41,C,11.53
FluentAssertions.Formatting .Formatter,Src\FluentAssertions\Formatting\Formatter.cs,188d,50min,1h  37min,"5 issues;FluentAssertions.Formatting .Formatter violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Formatting .Formatter.ToString(Object ,FormattingOptions) violates rule 'Code should be tested';FluentAssertions.Formatting .Formatter..cctor() violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Formatting .Formatter.isReentry violates rule 'Avoid non-readonly static fields';FluentAssertions.Formatting .Formatter.isReentry violates rule 'Static fields naming convention'",30,C,13.84
FluentAssertions.Collections .MaximumMatching .MaximumMatchingSolver<TValue >+Match,Src\FluentAssertions\Collections\MaximumMatching\MaximumMatchingSolver.cs,191d,44min,1h  24min,6 issues;FluentAssertions.Collections .MaximumMatching .MaximumMatchingSolver<TValue >+Match violates rule 'Override equals and operator equals on value types';FluentAssertions.Collections .MaximumMatching .MaximumMatchingSolver<TValue >+Match violates rule 'Structures should be immutable';FluentAssertions.Collections .MaximumMatching .MaximumMatchingSolver<TValue >+Match.Predicate violates rule 'Fields that could have a lower visibility';FluentAssertions.Collections .MaximumMatching .MaximumMatchingSolver<TValue >+Match.Predicate violates rule 'A field must not be assigned from outside its parent hierarchy types';FluentAssertions.Collections .MaximumMatching .MaximumMatchingSolver<TValue >+Match.Element violates rule 'Fields that could have a lower visibility';FluentAssertions.Collections .MaximumMatching .MaximumMatchingSolver<TValue >+Match.Element violates rule 'A field must not be assigned from outside its parent hierarchy types',0,E,169.75
FluentAssertions.AssertionOptions,Src\FluentAssertions\AssertionOptions.cs,192d,1h  16min,2h  24min,5 issues;FluentAssertions.AssertionOptions violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions.AssertionOptions. .cctor() violates rule 'Avoid types initialization cycles';FluentAssertions.AssertionOptions .defaults violates rule 'Avoid non-readonly static fields';FluentAssertions.AssertionOptions .defaults violates rule 'Avoid static fields with a mutable field type';FluentAssertions.AssertionOptions .defaults violates rule 'Static fields naming convention',9,D,43.98
FluentAssertions.Equivalency .EquivalencyValidator,Src\FluentAssertions\Equivalency\EquivalencyValidator.cs,244d,1h  11min,1h  47min,"6 issues;FluentAssertions.Equivalency .EquivalencyValidator violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .EquivalencyValidator violates rule 'Types almost 100% tested should be 100% tested';FluentAssertions.Equivalency .EquivalencyValidator violates rule 'Avoid prefixing type name with parent namespace name';FluentAssertions.Equivalency .EquivalencyValidator .TryToProveNodesAreEquivalent (Comparands ,IEquivalencyValidationContext) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .EquivalencyValidator .TryToProveNodesAreEquivalent (Comparands ,IEquivalencyValidationContext) violates rule 'Code should be tested';FluentAssertions.Equivalency .EquivalencyValidator .TryToProveNodesAreEquivalent (Comparands ,IEquivalencyValidationContext) violates rule 'Methods prefixed with 'Try' should return a boolean'",34,C,19.83
FluentAssertions.Equivalency.Steps .GenericDictionaryEquivalencyStep,Src\FluentAssertions\Equivalency\Steps\GenericDictionaryEquivalencyStep.cs,249d,1h  28min,2h  8min,"4 issues;FluentAssertions.Equivalency.Steps .GenericDictionaryEquivalencyStep violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency.Steps .GenericDictionaryEquivalencyStep violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions.Equivalency.Steps .GenericDictionaryEquivalencyStep .AssertDictionaryEquivalence <TSubjectKey,TSubjectValue ,TExpectedKey,TExpectedValue> (EquivalencyValidationContext ,IEquivalencyValidator ,IEquivalencyOptions,IDictionary <TSubjectKey,TSubjectValue> ,IDictionary<TExpectedKey ,TExpectedValue>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency.Steps .GenericDictionaryEquivalencyStep. .cctor() violates rule 'Avoid types initialization cycles'",58,C,14.55
FluentAssertions.Common.Services,Src\FluentAssertions\Common\Services.cs,273d,1h  38min,2h  10min,8 issues;FluentAssertions.Common.Services violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common.Services .EnsureInitialized() violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common.Services .ExecuteCustomInitializers() violates rule 'Code should be tested';FluentAssertions.Common.Services .configuration violates rule 'Avoid non-readonly static fields';FluentAssertions.Common.Services .configuration violates rule 'Avoid static fields with a mutable field type';FluentAssertions.Common.Services .configuration violates rule 'Static fields naming convention';FluentAssertions.Common.Services .isInitialized violates rule 'Avoid non-readonly static fields';FluentAssertions.Common.Services .isInitialized violates rule 'Static fields naming convention',37,C,18.91
FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>+Restriction<TMember>,Src\FluentAssertions\Equivalency\SelfReferenceEquivalencyOptions.cs,313d,35min,40min,"4 issues;FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>+Restriction<TMember> violates rule 'Nested types should not be visible';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>+Restriction<TMember> violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>+Restriction<TMember> violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions.Equivalency .SelfReferenceEquivalencyOptions <TSelf>+Restriction<TMember>.When (Expression<Func<IObjectInfo ,Boolean>>) violates rule 'Avoid namespaces mutually dependent'",7,D,31.16
